"LEMON COVE, CA",-119.0264,36.3817,156.4,519,1197,1224,174,580,0,3,0,0,0,333,620
"LIVERMORE, CA",-121.7692,37.6922,146.3,677,1602,657,77,415,0,0,0,56,0,247,739
"MERCED, CA",-120.5117,37.2858,46.6,697,861,568,5,416,0,0,0,0,0,51,821
"MT SHASTA, CA",-122.3081,41.3206,1094.2,2329,3965,1447,897,1439,81,,,482,70,441,1569
"NAPA STATE HOSPITAL, CA",-122.2647,38.2778,10.7,1895,2810,1417,122,760,0,0,0,0,0,244,1413
"NEEDLES AP, CA",-114.6189,34.7675,271.3,348,440,140,82,48,0,0,13,140,0,685,263
"NEWPORT BEACH HARBOR, CA",-117.8803,33.6025,3,893,1064,232,13,99,0,10,0,0,0,440,804
"OJAI, CA",-119.2275,34.4478,227.1,1986,2332,1172,29,409,16,0,0,0,0,503,1578
"ORLAND, CA",-122.1997,39.7458,77.4,1602,2710,1112,53,887,0,0,5,224,5,153,1254
"PASADENA, CA",-118.1447,34.1483,263.3,1719,2814,656,46,359,28,3,0,3,0,648,1282
"PASO ROBLES, CA",-120.6856,35.6278,213.4,1346,1705,764,20,209,0,0,0,0,0,355,1327
"PETALUMA AP, CA",-122.6078,38.2578,6.1,1462,2785,1385,156,714,0,0,0,13,5,214,1669
"QUINCY, CA",-120.9475,39.9367,1042.4,3185,5268,2002,618,1036,478,0,3,452,38,253,2409
"REDDING MUNI AP, CA",-122.2986,40.5175,151.5,1973,2234,2371,531,1028,0,0,257,76,24,528,1913
"REDLANDS, CA",-117.1894,34.0528,401.7,806,1439,569,18,366,3,0,0,0,0,683,704
"SAN LUIS OBISPO POLY, CA",-120.6639,35.3056,96,1785,1884,1527,56,481,0,0,0,0,0,579,1072
"SANTA BARBARA, CA",-119.6844,34.4167,1.5,1977,1603,952,45,479,22,0,0,0,0,547,1571
"SANTA CRUZ, CA",-121.9911,36.9906,39.6,1817,2795,1834,239,1098,3,16,0,35,0,,1421
"SANTA ROSA, CA",-122.6978,38.4381,53,1955,4355,1806,380,929,0,0,0,32,0,404,2278
"SUSANVILLE 2SW, CA",-120.6631,40.4167,1275.3,236,1577,363,224,332,107,0,0,356,0,26,861
"TAHOE CITY, CA",-120.1428,39.1678,1898.9,2111,4410,1279,462,697,86,0,0,275,5,275,2133
"TEJON RANCHO, CA",-118.7497,35.0233,434.3,450,1176,467,205,1112,67,0,0,0,0,699,787
"WEAVERVILLE, CA",-122.9331,40.7222,599.8,1979,3751,1354,1461,826,244,0,,178,,,
"WILLOWS 6 W, CA",-122.3058,39.5231,71,1606,2880,1012,51,596,0,0,21,51,0,640,680
"YOSEMITE PARK HQ, CA",-119.5897,37.75,1224.7,669,4190,,553,1359,43,0,0,16,0,509,1170
"YREKA, CA",-122.6408,41.7036,800.1,559,1636,213,385,277,0,0,155,211,118,168,512
"BOULDER, CO",-105.2667,39.9919,1671.5,400,188,720,473,988,539,563,27,143,615,605,89
"CANON CITY, CO",-105.2256,38.46,1635.6,245,153,218,191,923,165,361,185,86,408,164,120
"CHEESMAN, CO",-105.2783,39.2203,2097,261,183,561,214,455,413,651,216,159,310,194,114
"CHEYENNE WELLS, CO",-102.3486,38.8236,1295.4,68,183,272,58,735,927,1904,,,,,
"DEL NORTE 2E, CO",-106.3247,37.6742,2396.9,216,72,501,323,313,204,560,359,131,105,87,234
"DILLON 1 E, CO",-106.0353,39.6261,2763,232,154,813,493,548,390,218,383,131,382,163,252
"EADS, CO",-102.7808,38.4775,1284.7,134,252,239,30,554,694,892,803,36,137,40,0
"FT COLLINS, CO",-105.1314,40.6147,1525.2,125,41,513,454,742,659,317,52,183,238,455,145
"FT MORGAN, CO",-103.8156,40.26,1328.6,76,137,793,248,392,489,94,602,216,454,597,36
"FRUITA, CO",-108.7331,39.1653,1378.9,334,271,621,303,316,90,258,36,263,10,120,338
"GUNNISON 3SW, CO",-106.9675,38.5258,2323.8,235,476,347,131,,156,,40,28,176,82,51
"HERMIT 7 ESE, CO",-107.1097,37.7717,2757.8,175,670,752,345,280,195,259,325,185,20,515,221
"HOLLY, CO",-102.1236,38.0494,1033.3,155,71,331,101,754,849,174,811,599,43,23,137
